riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter  
Redmond Gerard,  1,  882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, , , , 
Emiliano Lauzi,  45,  405.2, Drake | Northwave | Picture | Santa Cruz | , 26, ITA, Goofy, , Milano, , , , , , , , 
Oyvind Kirkhus,  46,  400, , , NOR, , , , , , , , , , , 
Noah Vicktor,  47,  399.56, Hae | Level | Salomon | Smith | SVD | , 19, GER, Goofy, , , , , , , , , , 
Finestone Finn,  48,  398.63, , , CAN, , , , , , , , , , , 
Taiga Hasegawa,  49,  397.63, , , JPN, , , , , , , , , , , 
Mikko Rehnberg,  50,  396.17, Ride Snowboards | , 23, FIN, Regular, , Kuopio, , , , , , , , 
Kalle Järvilehto,  51,  394.44, Iso-Syöte Snowpark | , 25, FIN, Regular, 181 cm, Espoo, Iso-Syöte| Finland, www.instagram.com/kallejarvilehto/, www.facebook.com/kallejarvilehtofficial/, , , , , 
Jake Canter,  52,  381.19, , 17, USA, , , Evergreen, , , , , , , , 
Isak Ulstein,  53,  380.49, Anon Optics | Burton Snowboards | , 22, NOR, Regular, 1|79 cm, Royken, Oslo Vinterpark and Kirkerud, Isak Ulstein at Instagram, Isak Ulstein, , , , , 
Sindre Sklellanger Tveiten,  54,  376.33, , 22, NOR, Goofy, 190, , Hovden, , Sindre Tveiten, , , , , 
Loris Frammarin,  55,  375.94, , 22, ITA, , , , , , , , , , , 
Matthew Cox,  56,  369.13, , 22, AUS, Regular, 5.11ft., Stanwell Park, Perisher Blue, , , , , , , 
John MacDougall,  57,  365.42, , , CAN, Regular, 5ft.6in., , Nitehawk, , , , , , , 
Ryan Stassel,  58,  358.24, Bolle | US Snowboarding | , 27, USA, Regular, 5ft. 11in., Anchorage, Alyeska Resort and Boreal, @RyanStassel, www.facebook.com/RyanStassel, , , , , 
Clemens Millauer,  59,  358.19, Absolut Park | Anon Optics | Burton Snowboards | , 25, AUT, Regular, , Molln, , , , , , , , 
Johannes Taklo,  60,  354.87, , , NOR, , , , , , , , , , , 
Rikuto Watanabe,  61,  354.67, , , JPN, , , , , , , , , , , 
Truth Smith,  62,  353.26, , 16, CAN, , , , , , , , , , , 
Michael Modesti,  63,  350.35, , 19, CAN, , , , , , , , , , , 
Liam Gill,  64,  348.18, , 17, CAN, , , , , , , , , , , 
Matthew McCormick,  65,  345.89, Salomon | TSA | , 23, GBR, Regular, , Glasgow, , , , , , , , 
Yuto Yamada,  66,  343.37, , , JPN, , , , , , , , , , , 
Max Parrot,  67,  341.23, Monster Energy | Nobaday | , 26, CAN, Goofy, 5ft.11, Bromont, Bromont, www.instagram.com/maxparrot, www.facebook.com/MaxenceParrot, www.twitter.com/MaxParrot, , , , 
Lucas Comeau,  68,  341.15, , 18, CAN, Goofy, , Calgary, Canada Olympic Park| Calgary, instagram.com/lucascomeau_, , , , , , 
Mathias Eckhoff,  69,  340.74, Dragon | , 21, NOR, Regular, 176 cm, Østerås, Tryvann, , Mathias Eckhoff, , , , , 
Takeru Ootsuka,  70,  340.14, Burton Snowboards | , 19, JPN, , , Atsugi, , , , , , , , 
Nicolas Laframboise,  71,  340.08, , , CAN, , , , , , , , , , , 
Hunter Goulet,  72,  338.39, Burton Snowboards | , 16, USA, Goofy, 5ft.8, , Park City, instagram@huntergoulet, , , , , , 
Keenan Demchuck,  73,  334.1, , , CAN, , , , , , , , , , , 
Baldur Vilhelmsson,  74,  332.27, , , ISL, , , , , , , , , , , 
Sebastien Toutant,  75,  331.97, O'Neill | Red Bull | Ride Snowboards | , 27, CAN, Goofy, 5ft.6in., Repentigny, Val St-Come, , , , , , , 
Mitchell Davern,  76,  328.89, , 18, NZL, , , Auckland, , , , , , , , 
Casper Wolf,  77,  328.04, Protest | Salomon | , 19, NED, , , , , , , , , , , 
Leon Vockensperger,  78,  322.55, Anon Optics | Burton Snowboards | , 21, GER, Regular, 1|80 m, , , https://www.instagram.com/leonvockensperger/, https://m.facebook.com/Leon-Vockensperger-124671481205598/, , , , , 
William Mathisen,  79,  322.33, , , SWE, , , , , , , , , , , 
Botond Fricz,  80,  317.11, , 19, HUN, , , , , , , , , , , 
Carlos Garcia Knight,  81,  312.1, Burton Snowboards | Mons Royale | , 23, NZL, Regular, 5ft.10, Christchurch, Cardrona Alpine Resort, instagram.com/carlosgk, https://www.facebook.com/CarlosGarciaKnight, www.twitter.com/carlosgk_, , , , 
Will Izzard,  82,  312.04, , , CAN, , , , , , , , , , , 
Martin Lässer,  83,  310.15, , 22, SUI, , , , , , , , , , , 
Dane Menzies,  84,  309.56, , 15, CAN, , , , , , , , , , , 
Liam Stevens,  85,  308.7, , 23, CAN, , , , , , , , , , , 
Sam Koven,  86,  304.01, , 19, CAN, , , , , , , , , , , 
Mikhail Matveev,  87,  300.9, , 24, RUS, Goofy, , , , , https://www.facebook.com/misha.matveev.940, , , , , 
Leon Gütl,  88,  300, , 19, GER, , , , , , , , , , , 
Stef Vandeweyer,  89,  299.3, Dakine | TSG | 686 | , 21, BEL, Goofy, , Meerhout, , , , , , , , 
Min-Sik Lee,  90,  296.68, Burton Snowboards | , 20, KOR, Regular, 168cm, Kyounggi-Do, , , , , , , , 
Michael Schärer,  91,  296.61,  | , 23, SUI, Regular, 185, Spiez, Grindelwald, , https://www.facebook.com/michael.scharer.58, , , , , 
Kristian Skjomming,  92,  295.96, , , NOR, , , , , , , , , , , 
Will Healy,  93,  292.22, Burton Snowboards | Giro | , 18, USA, Regular, , , , , , , , , , 
Mateo Massitti,  94,  291.78, , 19, CAN, Goofy, , , , , , , , , , 
Jakub Hrones,  95,  290.1, , , CZE, , , , , , , , , , , 
Samuel Jaros,  96,  289.28, , , SVK, , , , , , , , , , , 
Magnus Groterud,  97,  288.04, , , NOR, , , , , , , , , , , 
Joewen Frijns,  98,  287.32, , , BEL, , , , , , , , , , , 
Gabriel Adams,  99,  285.49, Endeavor | , 17, GBR, Goofy, , , , , , , , , , 
Shuzaburo Otsubo,  100,  283.11, , 16, JPN, , , , , , , , , , , 
Marino Kristjansson,  101,  281.04, , 19, ISL, Goofy, 148 cm, Reykjavik, Blue Mountain, , , , , , , 
Kolman Lecroy,  102,  280.71, , , USA, , , , , , , , , , , 
Grey Katko,  103,  280.32, , , USA, , , , , , , , , , , 
Valtteri Kautonen,  104,  279.3, , , FIN, , , , , , , , , , , 
Sebastian Vik,  105,  267.4, , , NOR, , , , , , , , , , , 
Jules De Sloover,  106,  267.3, , , BEL, , , , , , , , , , , 
Tj Fitzgerald,  107,  267.18, , 19, USA, Regular, , Stratton, Stratton VT, , , , , , , 
Hiroto Ogiwara,  108,  267.04, , , JPN, , , , , , , , , , , 
Keita Inamura,  109,  266.67, , 23, JPN, Regular, 169cm, Fuso-Cho|Niwa-Gun|Aichi, , , , , , , , 
Aleksi Nevakivi,  110,  265.13,  | , 21, FIN, Goofy, , , , , , , , , , 
Markus Olimastad,  111,  262.52, , 26, NOR, Goofy, , Aamli, , , , , , , , 
Titouan Bartet,  112,  261.89,  | , 20, FRA, Regular, , Laval, , , , , , , , 
Tyson Lewis,  113,  260.63, , 14, CAN, , , , , , , , , , , 
Louis Ethier,  114,  259.96, , , CAN, , , , , , , , , , , 
Odin Rohrt,  115,  258.41, , 15, NOR, Goofy, , , , , , , , , , 
Yuuri Ookubo,  116,  255.17, , 20, JPN, , , Sappro-Shi?hokkaido, , , , , , , , 
Lane Weaver,  117,  252.7, , 17, CAN, , , , , , , , , , , 
Liam Johnson,  118,  251.65, , , USA, , , , , , , , , , , 
Davide Boggio,  119,  251.13, , 21, ITA, , , , , , , , , , , 
Patrick Hofmann,  120,  250.78,  | , 19, SUI, Goofy, , , , patrick.notizia.ch/, , , , , , 
Jake Denham,  121,  248.72, , , USA, , , , , , , , , , , 
Jonas Junker,  122,  248.13, , 20, SUI, Goofy, , , , , , , , , , 
Benni Fridbjornsson,  123,  247.67, Red Bull | Union Bindings | , 16, ISL, Regular, 155cm, Akureyri, Hlidarfjall Akureyri, bennif.com, Benni Fridbjornsson, www.twitter.com/Bennif2, , , , 
Rikuto Oohashi,  124,  246.27, , 18, JPN, Goofy, , Sapporo, , , , , , , , 
Anders Traasdahl Fornes,  125,  245.71, , , NOR, , , , , , , , , , , 
Yiming Su,  126,  243.02, , , CHN, , , , , , , , , , , 
Kensho Yamase,  127,  242.95, , , JPN, , , , , , , , , , , 
Lukas Frischhut,  128,  241.01, , , AUT, , , , , , , , , , , 
Ryo Aizawa,  129,  240.74, , , JPN, , , , , , , , , , , 
Alvaro Yanez,  130,  239.17, , 18, CHI, , , , , , , , , , , 
Embrik Kirkevoll,  131,  238.92, , , NOR, , , , , , , , , , , 
Sam Vermaat,  132,  238.87, , , NED, , , , , , , , , , , 
Joonas Bergman,  133,  238.83, , 20, FIN, , , , , , , , , , , 
Sébastien Konijnenberg,  134,  237.4, Rip Curl | Salomon | , 23, FRA, Goofy, , Saint Crépin, Risoul - France, https://www.instagram.com/sebkonijnenberg/, https://www.facebook.com/seb.konijn, , , , , 
Parker Giblin,  135,  236.94, , , USA, , , , , , , , , , , 
Nicholas Miller,  136,  236.89, , , USA, , , , , , , , , , , 
David Luckerbauer,  137,  236.84, , 20, AUT, Goofy, , , , , , , , , , 
Ilias Van Hoof,  138,  236.59, , 21, BEL, , , Kontich, , , , , , , , 
Billy Cockrell,  139,  235.28, , 21, GBR, , , Sheffield, , , , , , , , 
Sebbe De Buck,  140,  234.73, DC | Giro | Monster Energy | Union Bindings | , 25, BEL, Goofy, , Zoersel, , , www.facebook.com/sebbedebuckfanpage/?fref=ts, , , , , 
Hayato Nagasawa,  141,  232.05, Fanatic | , 18, JPN, Regular, , , , , , , , , , 
Wendelin Gauger,  142,  231.94, , 20, SUI, Regular, 187, Schwyz, Mythepark, , , , , , , 
Enzo Valax,  143,  231.26, , 19, FRA, , , , , , , , , , , 
Senan Ogasawara,  144,  228.68, , , JPN, , , , , , , , , , , 
Hinata Tsuji,  145,  227.8, , , JPN, , , , , , , , , , , 
Samuel Mather,  146,  227.3, , , CAN, , , , , , , , , , , 
Eli McDermott,  147,  226.97, , , USA, , , , , , , , , , , 
Max Williams,  148,  226.42, , , USA, , , , , , , , , , , 
Dashiell Klebe-Mcculloch,  149,  224.69, , , CAN, , , , , , , , , , , 
Chaeun Lee,  150,  224.56, , , KOR, , , , , , , , , , , 
Ryouji Fujiya,  151,  222.39, , , JPN, , , , , , , , , , , 
Ethan Smith,  152,  221.54, Never Summer | , 17, GBR, Goofy, 165cm, Southampton, The Snow Centre at Hemel Hempstead & Kaltenbach AUT, www.Ethan-Smith.com, www.facebook.com/ethansmith0, www.twitter.com/@ethansmith0, , , , 
Tyler Nicholson,  153,  221.54, Lib Technologies | Rockstar | Under Armour | , 25, CAN, Regular, , North Bay, , , , , , , , 
Moritz Boll,  154,  221.13,  | , 20, SUI, , , , , , , , , , , 
Ben Machtans,  155,  220.9, , , CAN, , , , , , , , , , , 
Kai Groenewald,  156,  220.43, , 16, NED, Regular, , , , , , , , , , 
Fynn Koenen,  157,  219.77, , , GER, , , , , , , , , , , 
Emppu V?is?nen,  158,  217.88, , , FIN, , , , , , , , , , , 
Jan Rovensky,  159,  217.5, , , CZE, , , , , , , , , , , 
Yaroslav Lenchevskiy,  160,  216.08, , , RUS, , , , , , , , , , , 
Carter Wega,  161,  215.36, , , CAN, , , , , , , , , , , 
Alex Atno,  162,  214.6, , , USA, , , , , , , , , , , 
Jaxson Moon,  163,  214.16, , , USA, , , , , , , , , , , 
Noé Larochaix,  164,  213.69, , , FRA, Regular, , , , , , , , , , 
Moritz Breu,  165,  213.54, , 17, GER, Goofy, , , , , , , , , , 
Moritz Kaufmann,  166,  213.31, , 20, AUT, , , , , , , , , , , 
Lucas Ferry,  167,  212.97, , , USA, , , , , , , , , , , 
Alex Lotorto,  168,  211.44, , , SUI, , , , , , , , , , , 
Evan Riddell,  169,  211.2, , 16, CAN, , , , , , , , , , , 
Matija Milenkovich,  170,  211.04, , 19, SRB, , , , , , , , , , , 
Caleb Chomlack,  171,  211.01, , 16, CAN, , , , , , , , , , , 
Sergii Sanzhapov,  172,  210.48, , 15, UKR, Regular, , Kiev, , , , , , , , 
Sean Miskiman,  173,  210.05, , 20, CAN, Regular, , Calgary, , , , , , , , 
Conner Christensson,  174,  208.85, , 17, CAN, , , , , , , , , , , 
Tyler Vallieres,  175,  208.6, , , USA, , , , , , , , , , , 
Nick Puenter,  176,  208.59, Head | TSG | Zimtstern | , 18, SUI, Goofy, , Staefa, , , , , , , , 
Gustaf Lundström,  177,  208.53, Capita | Deeluxe | Sessions | Union Bindings | , 22, SWE, Goofy, 182cm, , Vallsberget, https://vimeo.com/gustaflundstroem, https://www.facebook.com/gustaf.lundstrom.12, , , , , 
Tosh Krauskopf,  178,  203.33, , 15, CAN, , , , , , , , , , , 
Alexandr Smelov,  179,  203.11,  | , 24, RUS, Regular, 176, , Uktus, , https://www.facebook.com/AlexandrSmelov13, , , , , 
Sacha Moretti,  180,  203.04, igwis | Quiksilver | Waxx | , 22, FRA, Goofy, 1m45, Crots, Hautes-Alpes, , sacha-moretti@hotmail.fr, , , , , 
Sander Mork Danielsen,  181,  202.75, , , NOR, , , , , , , , , , , 
Wyatt Blake,  182,  202.01, , , USA, , , , , , , , , , , 
Yamato Kudo,  183,  200.95, , , JPN, , , , , , , , , , , 
Adrian Tongko,  184,  200.07, Salomon | , 23, PHI, Goofy, 177.8CM, Port Coquitlam, Whistler, www.instagram.com/adriantongko/, https://www.facebook.com/adri.on.3, , , , , 
Yuto Miyamura,  185,  199.89, , , JPN, , , , , , , , , , , 
Elia Manuel Fuser,  186,  199.64, , , ITA, , , , , , , , , , , 
Sami Kallo,  187,  199.23, , , FIN, , , , , , , , , , , 
Augustinho Teixeira,  188,  198.57, , , BRA, , , , , , , , , , , 
Shusei Kaku,  189,  198.25, , , JPN, , , , , , , , , , , 
Nathan Gray,  190,  196.45, , 19, FRA, , , St Martin De Belleville, , , , , , , , 
Alberto Maffei,  191,  195.8,  | , 25, ITA, Regular, 175 cm, Madonna Di Campiglio, Madonna di Campiglio, , Alberto Maffei, , , , , 
Naj Meving,  192,  195.49, , , SLO, , , , , , , , , , , 
Atsuhiro Suzuki,  193,  195.47, , , JPN, , , , , , , , , , , 
Jeremy Denda,  194,  194.94, , , SUI, , , , , , , , , , , 
Karis Stang,  195,  193.36, , , USA, , , , , , , , , , , 
Dante Brcic,  196,  192.27, , , CRO, , , , , , , , , , , 
Axel Thelen,  197,  191.99, Voelkl | , 22, FIN, Regular, , Helsinki, , , , , , , , 
Ryan Vo,  198,  190.19, , , CAN, , , , , , , , , , , 
Gabriel Almqvist,  199,  189.93, , , SWE, , , , , , , , , , , 
Jaden Freitas,  200,  189.34, , 16, USA, , , Bend, , , , , , , , 
Leopold Frey,  201,  188.83, , , GER, , , , , , , , , , , 
Philip Schwan,  202,  188.37, Rossignol | Vans | , 20, GER, Regular, 188, Konolfingen, Grindelwald, , Philip Boby Schwan, , , , , 
Matias Schmitt,  203,  187.09, , , ARG, , , , , , , , , , , 
Till Strohmeyer,  204,  186.33, , 18, AUT, , , Kiefersfelden, , , , , , , , 
Lucas Briggs,  205,  183.54, , , CAN, , , , , , , , , , , 
Inaqui Irarrazabal,  206,  183.53, , 28, CHI, , , , , , , , , , , 
Emil Zulian,  207,  182.05, Burton Snowboards | , 23, ITA, Goofy, 175 cm, Pozza Di Fassa, Buffaure| Pozza di Fassa, , Emilf Zulian, , , , , 
Kalin Fairgrieve-Park,  208,  181.55, , 20, CAN, , , , , , , , , , , 
Cole Valles,  209,  181.1, , , USA, , , , , , , , , , , 
Roni Karhila,  210,  180.3, , , FIN, , , , , , , , , , , 
Motiejus Morauskas,  211,  179.64, , , LTU, , , , , , , , , , , 
Lenny Oliver,  212,  179.26, , , FRA, , , , , , , , , , , 
Ryder Petrick,  213,  178.83, , 19, CAN, , , , , , , , , , , 
Hayden Tyler,  214,  178.77, , , USA, , , , , , , , , , , 
Glen Ironside,  215,  178.76,  | , 21, GBR, Regular, 178 cm, Unterhaching, , , www.facebook.com/pages/Glen-Ironside/436644083074592?fref=ts, , , , , 
Julien Merken,  216,  177.83, , , FRA, , , , , , , , , , , 
Nicola Liviero,  217,  176.8,  | , 21, ITA, Regular, , , , , , , , , , 
Leon Framarin,  218,  175.45, , , ITA, , , , , , , , , , , 
Dylan Van Hoeij,  219,  173.75,  | , 16, BEL, Regular, , Lommel, , , , , , , , 
Federico Chiaradio,  220,  173.69, , , ARG, , , , , , , , , , , 
Egill Gunnar Kristjansson,  221,  171.23, , , ISL, , , , , , , , , , , 
Dongheon Lee,  222,  171.09, , , KOR, , , , , , , , , , , 
Kamil Knop,  223,  170.34, , , POL, , , , , , , , , , , 
Jesper Landmark,  224,  170.29, Dragon | Gnu | Union Bindings |  | , 21, SWE, Regular, 178 cm, Leksand, Kläppen Ski Resort, www.vimeo.com/user14726408, Jeppe Landmark, , , , , 
Lenny Fenning,  225,  170.2, , , GBR, , , , , , , , , , , 
Alois Durand,  226,  170.16, , 16, GER, , , , , , , , , , , 
Laurent Ethier,  227,  169.72, , , CAN, , , , , , , , , , , 
Felix Widning,  228,  169.14, Bataleon | , 29, AUT, Regular, 180, Zlan, Dobratsch, www.instagram.com/flex_snow/, www.facebook.com/flexsnowbo/, , , , , 
Jakob Tessand,  229,  168.8, , , NOR, , , , , , , , , , , 
Anders Johannes Brune Olsen,  230,  168.48, , , NOR, , , , , , , , , , , 
Keyser Murphy,  231,  168.22, , , USA, , , , , , , , , , , 
Miruki Morii,  232,  167.99, , , JPN, , , , , , , , , , , 
Kazuki Saijo,  233,  167.11, , , JPN, , , , , , , , , , , 
Lovelock Zephyr,  234,  166.83, , , NZL, , , , , , , , , , , 
Dawson Fantuz,  235,  166.47, , , CAN, , , , , , , , , , , 
Yusei Kaku,  236,  166.28, , , JPN, , , , , , , , , , , 
Logan Lauffer,  237,  166.22, , 18, USA, Goofy, , Rifle, , , , , , , , 
Haruhi Tsuji,  238,  162.53, , , JPN, , , , , , , , , , , 
Pavel Anishchanka,  239,  161.47, , , BLR, , , , , , , , , , , 
Brian Rice Ii,  240,  160.66, , , USA, , , , , , , , , , , 
Piotrek Tokarczyk,  241,  159.78, , 29, POL, Regular, 161, Nowy Targ, tatry, snownt.pl.tl, , , , , , 
Brendan Keuling,  242,  159.6, , 18, CAN, , , , , , , , , , , 
Carson Klundt,  243,  159.38, , , USA, , , , , , , , , , , 
Ukyo Negishi,  244,  159.37, , , JPN, , , , , , , , , , , 
Samuel Finnemore,  245,  158.11, , , NZL, , , , , , , , , , , 
Petr Ershov,  246,  157.04, , , RUS, , , , , , , , , , , 
Kian Christopher Hauschildt,  247,  156.68, , , BRA, , , , , , , , , , , 
Mitja Kauranen,  248,  156.47, , , FIN, , , , , , , , , , , 
Alec Little,  249,  156.21, , , USA, , , , , , , , , , , 
Jascha Nunez,  250,  156.05, , , AUT, , , , , , , , , , , 
Ladislav Hrstka,  251,  155.37, , 18, CZE, , , , , , , , , , , 
Joshua Reeves,  252,  155.24, , , CAN, , , , , , , , , , , 
Bouchard Eli,  253,  154.64, , , CAN, , , , , , , , , , , 
Ian Scherrer,  254,  154.58, , , CAN, , , , , , , , , , , 
Roni Aalto,  255,  153.58, , , FIN, , , , , , , , , , , 
Oskar Klein,  256,  153.22, , 19, CAN, , , , , , , , , , , 
Julien Cannicionnie,  257,  153.19, , , CAN, , , , , , , , , , , 
Jonah Cantelon,  258,  152.94, , , CAN, , , , , , , , , , , 
Jeremy Bucher,  259,  152.87, , , SUI, , , , , , , , , , , 
Jinichiro Abe,  260,  152.8, , , JPN, , , , , , , , , , , 
Jan Matteoli,  261,  152.61, , , ITA, , , , , , , , , , , 
Lucas Cornillat,  262,  152.08, , , FRA, , , , , , , , , , , 
Dante Schipani,  263,  151.23, , , USA, , , , , , , , , , , 
Kaishi Obata,  264,  150.89, , , JPN, , , , , , , , , , , 
Kira Kimura,  265,  150.79, , , JPN, , , , , , , , , , , 
Casper Holtzapfel,  266,  150.44, , , NED, , , , , , , , , , , 
Tobias Lunn,  267,  150.15, , , NOR, , , , , , , , , , , 
Vetle Rygh,  268,  148.91, , , NOR, , , , , , , , , , , 
Jakob Ganserer,  269,  148.17, , , GER, , , , , , , , , , , 
Erik Bastiaansen,  270,  147.82, Ride Snowboards | Smith | , 22, NED, Regular, , Terneuzen, , , , , , , , 
Krzysztof Owczarek,  271,  147.06, , , POL, , , , , , , , , , , 
Mathis Lamoureux,  272,  146.71, , , CAN, , , , , , , , , , , 
Owen Burns,  273,  146.1, , 17, CAN, , , , , , , , , , , 
Pedro Bidegain,  274,  145.27, , , ARG, , , , , , , , , , , 
Patrice Poulin,  275,  145.25, , 20, CAN, , , , , , , , , , , 
Rakim Foy,  276,  144.94, , 18, NED, , , , , , , , , , , 
Stan Pauli,  277,  144.81, K2 Snowboarding | , 18, NED, Goofy, , , , , , , , , , 
Shayne Sandblom,  278,  144.5, , , USA, , , , , , , , , , , 
Harry Waite,  279,  144.37, , , GBR, , , , , , , , , , , 
Liam Berger,  280,  143.13, , , CAN, , , , , , , , , , , 
Mafuyu Shirakawa,  281,  143.09, , , JPN, , , , , , , , , , , 
