riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter  
Botond Fricz,  71,  317.11, , 19, HUN, , , , , , , , , , , 
Dane Menzies,  72,  309.56, , 15, CAN, , , , , , , , , , , 
Liam Stevens,  73,  308.7, , 23, CAN, , , , , , , , , , , 
Isak Ulstein,  74,  307.49, Anon Optics | Burton Snowboards | , 22, NOR, Regular, 1|79 cm, Royken, Oslo Vinterpark and Kirkerud, Isak Ulstein at Instagram, Isak Ulstein, , , , , 
Noah Vicktor,  75,  307.34, Hae | Level | Salomon | Smith | SVD | , 18, GER, Goofy, , , , , , , , , , 
Yuto Yamada,  76,  305.65, , , JPN, , , , , , , , , , , 
Sam Koven,  77,  304.01, , 18, CAN, , , , , , , , , , , 
Sam Koven,  77,  304.01, , 18, CAN, , , , , , , , , , , 
Mikhail Matveev,  79,  300.9, , 23, RUS, Goofy, , , , , https://www.facebook.com/misha.matveev.940, , , , , 
Min-Sik Lee, , , Burton Snowboards | , 19, KOR, Regular, 168cm, Kyounggi-Do, , , , , , , , 
Michael Schärer,  81,  296.61,  | , 23, SUI, Regular, 185, Spiez, Grindelwald, , https://www.facebook.com/michael.scharer.58, , , , , 
Mateo Massitti,  82,  291.78, , 19, CAN, Goofy, , , , , , , , , , 
Jakub Hrones,  83,  290.1, , , CZE, , , , , , , , , , , 
Magnus Groterud,  84,  288.04, , , NOR, , , , , , , , , , , 
Joewen Frijns,  85,  287.32, , , BEL, , , , , , , , , , , 
Nicolas Laframboise,  86,  286.36, , , CAN, , , , , , , , , , , 
Shuzaburo Otsubo,  87,  283.11, , 16, JPN, , , , , , , , , , , 
Will Izzard,  88,  281.25, , , CAN, , , , , , , , , , , 
Marino Kristjansson,  89,  281.04, , 19, ISL, Goofy, 148 cm, Reykjavik, Blue Mountain, , , , , , , 
Grey Katko,  90,  280.32, , , USA, , , , , , , , , , , 
Kristian Skjomming,  91,  278.74, , , NOR, , , , , , , , , , , 
William Mathisen,  92,  278.62, , , SWE, , , , , , , , , , , 
Sebastian Vik,  93,  267.4, , , NOR, , , , , , , , , , , 
Tj Fitzgerald,  94,  267.18, , 18, USA, Regular, , Stratton, Stratton VT, , , , , , , 
Keita Inamura,  95,  266.67, , 23, JPN, Regular, 169cm, Fuso-Cho|Niwa-Gun|Aichi, , , , , , , , 
Stef Vandeweyer,  96,  266.62, Dakine | TSG | 686 | , 20, BEL, Goofy, , Meerhout, , , , , , , , 
Mitchell Davern,  97,  262.69, , 18, NZL, , , Auckland, , , , , , , , 
Markus Olimastad,  98,  262.22, , 26, NOR, Goofy, , Aamli, , , , , , , , 
Titouan Bartet,  99,  261.89,  | , 20, FRA, Regular, , Laval, , , , , , , , 
Louis Ethier,  100,  259.96, , , CAN, , , , , , , , , , , 
Seppe Smits,  101,  258.68, Absolut Park | Red Bull | , 28, BEL, Goofy, 180, Westmalle, We have no mountains :), , https://www.facebook.com/pages/Seppe-Smits/218187294872688?fref=ts, , , , , 
Valtteri Kautonen,  102,  254.08, , , FIN, , , , , , , , , , , 
Hiroto Ogiwara,  103,  253.19, , , JPN, , , , , , , , , , , 
Liam Johnson,  104,  251.65, , , USA, , , , , , , , , , , 
Tyson Lewis,  105,  248.52, , 13, CAN, , , , , , , , , , , 
Benni Fridbjornsson,  106,  247.67, Red Bull | Union Bindings | , 15, ISL, Regular, 155cm, Akureyri, Hlidarfjall Akureyri, bennif.com, Benni Fridbjornsson, www.twitter.com/Bennif2, , , , 
Anders Traasdahl Fornes,  107,  245.71, , , NOR, , , , , , , , , , , 
Carlos Garcia Knight,  108,  242.58, Burton Snowboards | Mons Royale | , 23, NZL, Regular, 5ft.10, Christchurch, Cardrona Alpine Resort, instagram.com/carlosgk, https://www.facebook.com/CarlosGarciaKnight, www.twitter.com/carlosgk_, , , , 
Ryo Aizawa,  109,  239.61, , , JPN, , , , , , , , , , , 
Embrik Kirkevoll,  110,  238.92, , , NOR, , , , , , , , , , , 
Parker Giblin,  111,  236.94, , , USA, , , , , , , , , , , 
Nicholas Miller,  112,  236.89, , , USA, , , , , , , , , , , 
Nicholas Miller,  112,  236.89, , , USA, , , , , , , , , , , 
Billy Cockrell,  114,  235.28, , 21, GBR, , , Sheffield, , , , , , , , 
Lane Weaver,  115,  234.94, , 17, CAN, , , , , , , , , , , 
Sebbe De Buck,  116,  234.73, DC | Giro | Monster Energy | Union Bindings | , 25, BEL, Goofy, , Zoersel, , , www.facebook.com/sebbedebuckfanpage/?fref=ts, , , , , 
Kensho Yamase,  117,  234.19, , , JPN, , , , , , , , , , , 
Hayato Nagasawa,  118,  232.05, Fanatic | , 17, JPN, Regular, , , , , , , , , , 
Hayato Nagasawa,  118,  232.05, Fanatic | , 17, JPN, Regular, , , , , , , , , , 
Kolman Lecroy,  120,  229.65, , , USA, , , , , , , , , , , 
Odin Rohrt,  121,  228.19, , 15, NOR, Goofy, , , , , , , , , , 
Hinata Tsuji,  122,  227.8, , , JPN, , , , , , , , , , , 
Eli McDermott,  123,  226.97, , , USA, , , , , , , , , , , 
Sébastien Konijnenberg,  124,  225.93, Rip Curl | Salomon | , 22, FRA, Goofy, , Saint Crépin, Risoul - France, https://www.instagram.com/sebkonijnenberg/, https://www.facebook.com/seb.konijn, , , , , 
Dashiell Klebe-Mcculloch,  125,  224.69, , , CAN, , , , , , , , , , , 
Sam Vermaat,  126,  223.05, , , NED, , , , , , , , , , , 
Chaeun Lee,  127,  222.86, , , KOR, , , , , , , , , , , 
Ryouji Fujiya,  128,  222.39, , , JPN, , , , , , , , , , , 
Lukas Frischhut,  129,  221.6, , , AUT, , , , , , , , , , , 
Ethan Smith,  130,  221.54, Never Summer | , 16, GBR, Goofy, 165cm, Southampton, The Snow Centre at Hemel Hempstead & Kaltenbach AUT, www.Ethan-Smith.com, www.facebook.com/ethansmith0, www.twitter.com/@ethansmith0, , , , 
Tyler Nicholson,  131,  221.54, Lib Technologies | Rockstar | Under Armour | , 24, CAN, Regular, , North Bay, , , , , , , , 
Casper Wolf,  132,  217.78, Protest | Salomon | , 19, NED, , , , , , , , , , , 
Jan Rovensky,  133,  217.5, , , CZE, , , , , , , , , , , 
Carter Wega,  134,  215.36, , , CAN, , , , , , , , , , , 
Jaxson Moon,  135,  214.16, , , USA, , , , , , , , , , , 
Lucas Ferry,  136,  211.85, , , USA, , , , , , , , , , , 
Alex Lotorto,  137,  211.44, , , SUI, , , , , , , , , , , 
Jake Denham,  138,  211.42, , , USA, , , , , , , , , , , 
Evan Riddell,  139,  211.2, , 15, CAN, , , , , , , , , , , 
Caleb Chomlack,  140,  211.01, , 15, CAN, , , , , , , , , , , 
Matija Milenkovich,  141,  210.91, , 19, SRB, , , , , , , , , , , 
Sergii Sanzhapov,  142,  210.48, , 15, UKR, Regular, , Kiev, , , , , , , , 
Ben Machtans,  143,  209.31, , , CAN, , , , , , , , , , , 
Ben Machtans,  143,  209.31, , , CAN, , , , , , , , , , , 
Gustaf Lundström,  145,  208.53, Capita | Deeluxe | Sessions | Union Bindings | , 22, SWE, Goofy, 182cm, , Vallsberget, https://vimeo.com/gustaflundstroem, https://www.facebook.com/gustaf.lundstrom.12, , , , , 
Leon Gütl,  146,  203.95, , 19, GER, , , , , , , , , , , 
Tosh Krauskopf,  147,  203.33, , 15, CAN, , , , , , , , , , , 
Alexandr Smelov,  148,  203.11,  | , 24, RUS, Regular, 176, , Uktus, , https://www.facebook.com/AlexandrSmelov13, , , , , 
Sacha Moretti,  149,  203.04, igwis | Quiksilver | Waxx | , 21, FRA, Goofy, 1m45, Crots, Hautes-Alpes, , sacha-moretti@hotmail.fr, , , , , 
Max Williams,  150,  202.87, , , USA, , , , , , , , , , , 
Sander Mork Danielsen,  151,  202.75, , , NOR, , , , , , , , , , , 
Wyatt Blake,  152,  202.01, , , USA, , , , , , , , , , , 
Kai Groenewald,  153,  201.83, , 16, NED, Regular, , , , , , , , , , 
Alvaro Yanez,  154,  200.95, , 18, CHI, , , , , , , , , , , 
Yamato Kudo,  155,  200.95, , , JPN, , , , , , , , , , , 
Adrian Tongko,  156,  200.07, Salomon | , 23, PHI, Goofy, 177.8CM, Port Coquitlam, Whistler, www.instagram.com/adriantongko/, https://www.facebook.com/adri.on.3, , , , , 
Yiming Su,  157,  200, , , CHN, , , , , , , , , , , 
Yuto Miyamura,  158,  199.89, , , JPN, , , , , , , , , , , 
Emppu V?is?nen,  159,  198.48, , , FIN, , , , , , , , , , , 
Shusei Kaku,  160,  198.25, , , JPN, , , , , , , , , , , 
Nathan Gray,  161,  196.45, , 19, FRA, , , St Martin De Belleville, , , , , , , , 
Alberto Maffei,  162,  195.8,  | , 25, ITA, Regular, 175 cm, Madonna Di Campiglio, Madonna di Campiglio, , Alberto Maffei, , , , , 
Will Healy,  163,  195.4, Burton Snowboards | Giro | , 18, USA, Regular, , , , , , , , , , 
Jeremy Denda,  164,  194.94, , , SUI, , , , , , , , , , , 
Karis Stang,  165,  193.24, , , USA, , , , , , , , , , , 
Dante Brcic,  166,  192.27, , , CRO, , , , , , , , , , , 
Fynn Koenen,  167,  190.27, , , GER, , , , , , , , , , , 
Ryan Vo,  168,  190.19, , , CAN, , , , , , , , , , , 
Jaden Freitas,  169,  189.34, , 15, USA, , , Bend, , , , , , , , 
Leopold Frey,  170,  188.83, , , GER, , , , , , , , , , , 
Samuel Mather,  171,  188.21, , , CAN, , , , , , , , , , , 
Matias Schmitt,  172,  187.09, , , ARG, , , , , , , , , , , 
Martin Lässer,  173,  185.83, , 22, SUI, , , , , , , , , , , 
Elia Manuel Fuser,  174,  185.66, , , ITA, , , , , , , , , , , 
Inaqui Irarrazabal,  175,  183.53, , 28, CHI, , , , , , , , , , , 
Emil Zulian,  176,  182.05, Burton Snowboards | , 22, ITA, Goofy, 175 cm, Pozza Di Fassa, Buffaure| Pozza di Fassa, , Emilf Zulian, , , , , 
Cole Valles,  177,  181.1, , , USA, , , , , , , , , , , 
Lucas Briggs,  178,  180.98, , , CAN, , , , , , , , , , , 
Senan Ogasawara,  179,  180.55, , , JPN, , , , , , , , , , , 
Roni Karhila,  180,  180.3, , , FIN, , , , , , , , , , , 
Hayden Tyler,  181,  178.77, , , USA, , , , , , , , , , , 
Glen Ironside,  182,  178.76,  | , 20, GBR, Regular, 178 cm, Unterhaching, , , www.facebook.com/pages/Glen-Ironside/436644083074592?fref=ts, , , , , 
Nicola Liviero,  183,  176.8,  | , 21, ITA, Regular, , , , , , , , , , 
Yaroslav Lenchevskiy,  184,  176.69, , , RUS, , , , , , , , , , , 
Augustinho Teixeira,  185,  176, , , BRA, , , , , , , , , , , 
Samuel Finnemore,  186,  175.41, , , NZL, , , , , , , , , , , 
Lovelock Zephyr,  187,  174.29, , , NZL, , , , , , , , , , , 
Philip Schwan,  188,  174.03, Rossignol | Vans | , 19, GER, Regular, 188, Konolfingen, Grindelwald, , Philip Boby Schwan, , , , , 
Federico Chiaradio,  189,  173.69, , , ARG, , , , , , , , , , , 
Jules De Sloover,  190,  172.02, , , BEL, , , , , , , , , , , 
Dongheon Lee,  191,  171.09, , , KOR, , , , , , , , , , , 
Tyler Vallieres,  192,  171.02, , , USA, , , , , , , , , , , 
Jesper Landmark,  193,  170.29, Dragon | Gnu | Union Bindings |  | , 21, SWE, Regular, 178 cm, Leksand, Kläppen Ski Resort, www.vimeo.com/user14726408, Jeppe Landmark, , , , , 
Lenny Fenning,  194,  170.2, , , GBR, , , , , , , , , , , 
Alois Durand,  195,  170.16, , 16, GER, , , , , , , , , , , 
Laurent Ethier,  196,  169.72, , , CAN, , , , , , , , , , , 
Anders Johannes Brune Olsen,  197,  168.48, , , NOR, , , , , , , , , , , 
Keyser Murphy,  198,  168.22, , , USA, , , , , , , , , , , 
Naj Meving,  199,  167.82, , , SLO, , , , , , , , , , , 
Dawson Fantuz,  200,  166.47, , , CAN, , , , , , , , , , , 
Yusei Kaku,  201,  166.28, , , JPN, , , , , , , , , , , 
Logan Lauffer,  202,  166.22, , 18, USA, Goofy, , Rifle, , , , , , , , 
Haruhi Tsuji,  203,  162.53, , , JPN, , , , , , , , , , , 
Brian Rice Ii,  204,  160.66, , , USA, , , , , , , , , , , 
Carson Klundt,  205,  159.38, , , USA, , , , , , , , , , , 
Ukyo Negishi,  206,  159.37, , , JPN, , , , , , , , , , , 
Brendan Keuling,  207,  157.84, , 17, CAN, , , , , , , , , , , 
Davide Boggio,  208,  157.39, , 21, ITA, , , , , , , , , , , 
Kian Christopher Hauschildt,  209,  156.68, , , BRA, , , , , , , , , , , 
Jascha Nunez,  210,  156.05, , , AUT, , , , , , , , , , , 
Kian Christopher Hauschildt,  209,  156.68, , , BRA, , , , , , , , , , , 
Bouchard Eli,  212,  154.64, , , CAN, , , , , , , , , , , 
Wendelin Gauger,  213,  153.21, , 20, SUI, Regular, 187, Schwyz, Mythepark, , , , , , , 
Jonah Cantelon,  214,  152.94, , , CAN, , , , , , , , , , , 
Jinichiro Abe,  215,  152.8, , , JPN, , , , , , , , , , , 
Kaishi Obata,  216,  150.89, , , JPN, , , , , , , , , , , 
Kira Kimura,  217,  150.79, , , JPN, , , , , , , , , , , 
Casper Holtzapfel,  218,  150.44, , , NED, , , , , , , , , , , 
Roni Aalto,  219,  150.36, , , FIN, , , , , , , , , , , 
Tobias Lunn,  220,  150.15, , , NOR, , , , , , , , , , , 
Motiejus Morauskas,  221,  149.6, , , LTU, , , , , , , , , , , 
Ryder Petrick,  222,  148.91, , 19, CAN, , , , , , , , , , , 
Vetle Rygh,  223,  148.91, , , NOR, , , , , , , , , , , 
Jakob Ganserer,  224,  148.17, , , GER, , , , , , , , , , , 
Gabriel Almqvist,  225,  147.73, , , SWE, , , , , , , , , , , 
Gabriel Almqvist,  225,  147.73, , , SWE, , , , , , , , , , , 
Mathis Lamoureux,  227,  146.71, , , CAN, , , , , , , , , , , 
Owen Burns,  228,  146.1, , 17, CAN, , , , , , , , , , , 
Pedro Bidegain,  229,  145.27, , , ARG, , , , , , , , , , , 
Stan Pauli,  230,  144.81, K2 Snowboarding | , 17, NED, Goofy, , , , , , , , , , 
Shayne Sandblom,  231,  144.5, , , USA, , , , , , , , , , , 
Pavel Anishchanka,  232,  144.29, , , BLR, , , , , , , , , , , 
Thom Wijnstra,  233,  142.86, , , NED, , , , , , , , , , , 
Lenny Oliver,  234,  142.65, , , FRA, , , , , , , , , , , 
Oskar Klein,  235,  142.37, , 18, CAN, , , , , , , , , , , 
Chris Hoffman, , , , , RUS, , , , , , , , , , , 
Aidan Coleborrk,  237,  140.63, , , CAN, , , , , , , , , , , 
Connor Cavanagh,  238,  140.28, , , USA, , , , , , , , , , , 
Mitja Kauranen,  239,  140.24, , , FIN, , , , , , , , , , , 
Jan Matteoli,  240,  138.49, , , ITA, , , , , , , , , , , 
Lukas Behensky,  241,  138.31, , , AUT, , , , , , , , , , , 
Dominik Holzinger,  242,  137.98, , , AUT, , , , , , , , , , , 
Jose Antonio Aragon,  243,  137.43, , , ESP, , , , , , , , , , , 
Krzysztof Owczarek,  244,  136.91, , , POL, , , , , , , , , , , 
William Almqvist,  245,  136.68, , , SWE, , , , , , , , , , , 
Anthon Bosch,  246,  135.28, Burton Snowboards | , 24, RSA, Regular, 180cm, Transtrand, Kläppen| Sälen, anthonbosch.com, https://www.facebook.com/anthon.bosch, , , , , 
Nick Puenter,  247,  135.27, Head | TSG | Zimtstern | , 18, SUI, Goofy, , Staefa, , , , , , , , 
Jonas Mork Danielsen,  248,  134.68, , , NOR, , , , , , , , , , , 
Sikyung Ju,  249,  132.37, , , KOR, , , , , , , , , , , 
Ethen Goebel,  250,  132.36, , , USA, , , , , , , , , , , 
Jakob Svendsen Tessan,  251,  130.64, , , NOR, , , , , , , , , , , 
Niklas Sukke,  252,  129.99, , , NOR, , , , , , , , , , , 
Jack Coyne,  253,  129.79, Anon Optics | Burton Snowboards | , 18, USA, Regular, , Edwards, , , , , , , , 
Julien Merken,  254,  129.5, , , FRA, , , , , , , , , , , 
Jumpei Kawashita,  255,  128.4, , , JPN, , , , , , , , , , , 
Janko Kolarevic,  256,  127.17, , 22, SRB, , , , , , , , , , , 
Charles-éric D’Astous,  257,  127.07, , 16, CAN, , , , , , , , , , , 
Kade Martin,  258,  126.71, , , USA, , , , , , , , , , , 
Liam Berger,  259,  126.61, , , CAN, , , , , , , , , , , 
Kalin Fairgrieve-Park,  260,  126.2, , 20, CAN, , , , , , , , , , , 
Henry Burns,  261,  126.17, , , CAN, , , , , , , , , , , 
Kim Gyeong Uk,  262,  125.83, Capita | FLUX BINDINGS | 686 | , 19, KOR, Regular, , Changwon, , , , , , , , 
Henry Burns,  261,  126.17, , , CAN, , , , , , , , , , , 
Petar Gyosharkov,  264,  125.51, , 23, BUL, Regular, , Samokov, , , , , , , , 
Joshua Cielen,  265,  125.43, , , CAN, , , , , , , , , , , 
Juan Cachat,  266,  124.59, Vans | , 20, FRA, Goofy, , Thollon Les Memises, , , , , , , , 
Bart Poll,  267,  124.3, , , NED, , , , , , , , , , , 
Lucas Hendriks,  268,  123.04, , , NED, , , , , , , , , , , 
Lucas Cornillat,  269,  122.59, , , FRA, , , , , , , , , , , 
Kazuki Saijo,  270,  122.52, , , JPN, , , , , , , , , , , 
Bodie Heflin,  271,  121.34, , , USA, , , , , , , , , , , 
Emil Frey,  272,  121.25, , , GER, , , , , , , , , , , 
Nanno Hensold,  273,  120.9, , , GER, , , , , , , , , , , 
Morris Gifford,  274,  120.15, , , USA, , , , , , , , , , , 
Corben Marchiel,  275,  119.4, , , CAN, , , , , , , , , , , 
Nick Fox,  276,  118.24, , , USA, , , , , , , , , , , 
Gus Sigel,  277,  118.21, , , USA, , , , , , , , , , , 
Kyle Carr,  278,  118.19, , , CAN, , , , , , , , , , , 
Wei He,  279,  117.96, , , CHN, , , , , , , , , , , 
Connor Kelly,  280,  117.54, , , CAN, , , , , , , , , , , 
Hyun Jun Lee,  281,  116.92, , , KOR, , , , , , , , , , , 
Hyun Jun Lee,  281,  116.92, , , KOR, , , , , , , , , , , 
Diego Ceron,  283,  116.72, , 26, CHI, , , , , , , , , , , 
Ilias Van Hoof,  284,  116.14, , 21, BEL, , , Kontich, , , , , , , , 
Samuel Fejgl,  285,  115.36, , , CZE, , , , , , , , , , , 
Charles Gray,  286,  115.18, , , USA, , , , , , , , , , , 
Jeremy Bucher,  287,  115.07, , , SUI, , , , , , , , , , , 
Stephon Bulat,  288,  115, , , CAN, , , , , , , , , , , 
